document,summary
"b""a maverick , pro-democracy legislator who has led dozens of protests against the chinese government has been voted hong kong 's personality of #### in an end-of-year popularity poll , organisers said tuesday .""",b'maverick lawmaker named hong kong personality of the year'
"b'following are the seeds for the bank mandiri thomas &amp; amp ; uber cup finals , slated from may #-## in jakarta .'",b'seeds in both thomas &amp; amp ; uber cup draws'
"b'indonesian officers charged with crimes could stand trials before a civilian , an official said tuesday .'",b'indonesian civilian court may open to officers'
"b'taiwan will hold its first cycling festival in october to boost international cycling tourism to the island , the tourism bureau said in a statement released over the weekend .'",b'first taiwan cycling festival set to roll in october'
"b""the prime ministers of ireland and hungary on friday called for a quick agreement on the european union 's ####-#### budget and urged the bloc to maintain funds meant to help the development of its newer members .""",b'irish hungarian prime minister urge fast deal on #-year eu budget'
"b""russian first deputy prime minister oleg soskovets today called for `` more radical measures '' in fighting against crimes in the country , as its rate was rising .""",b'russian deputy premier calls for fighting against crimes'
"b'the u.s. unemployment rate went down in october to a ##-year low of #.# percent , the labor department reported here today .'",b'u.s. unemployment rate in october drops to new'
b'swedish authorities prepared thursday to bring back from thailand the remains of two more swedes killed in the asian tsunami and warned that it will take months before all the bodies can be flown home .',b'officials say more swedish bodies to be returned ; finns gather in memory of tsunami dead'
"b'for the third time in six years , the uefa cup final will be an all-italian contest .'",b'all-italian final again in uefa cup'
"b""in what american officials describe as a significant advance in the effort to combat drug trafficking in the caribbean , the united states has negotiated `` hot pursuit '' agreements under which nine nations have opened their territorial waters to coast guard vessels .""",b'u.s. wins hot pursuit rights in caribbean drug fight'
"b""spain 's juan angel UNK was elected as new president of the international hockey federation , succeeding etienne UNK of france , the ihf announced sunday .""","b""spain 's juan UNK named head of international hockey federation"""
b'defense secretary geoff hoon on thursday played down suggestions that prime minister tony blair was not fully informed about the details of key intelligence reports in the lead-up to war in iraq .',b'defense secretary hoon rebuts suggestion blair was not informed on intelligence'
b'richard zednik scored with #:## left in regulation as the washington capitals twice rallied to tie the carolina hurricanes #-# saturday night .',"b""saturday 's college football"""
b'davidson county commissioners chairman and longtime republican politician fred c. sink became the fifth county official thursday to face criminal charges resulting from a state probe into activities by a former county director .',"b""indictment charges county employee fixed toilet at commissioner 's residence"""
"b""thailand 's national legislative assembly on thursday agreed to ease a restriction imposed after september 's coup d'etat , voting unanimously to lift a ban on public gatherings of more than five people , the head of the body said .""",b'interim thai legislature votes to lift post-coup ban on public meetings'
"b'share prices in tokyo opened higher monday with the nikkei-### index gaining ##.## points , or #.# percent , to ##,###.## in the first five minutes of trading .'",b'tokyo stocks open higher'
"b'six nepalese soldiers including a major have been jailed for crimes ranging from murder and extortion to human rights abuses , army spokesman colonel dipak gurung said thursday .'",b'nepal jails six soldiers for murder human rights violations'
